country,number,year
Algeria,0,1996
Angola,0,1996
Argentina,3,1996
Australia,1,1996
Austria,0,1996
Bahrain,1,1996
Belgium,0,1996
Bermuda,0,1996
Brazil,10,1996
Canada,5,1996
Chile,5,1996
China,0,1996
Colombia,3,1996
Cyprus,0,1996
Czech Republic,0,1996
Denmark,2,1996
Ecuador,1,1996
Egypt,0,1996
Finland,0,1996
France,14,1996
Georgia,0,1996
Germany,47,1996
Greece,5,1996
Guernsey,0,1996
Hong Kong,18,1996
India,3,1996
Indonesia,10,1996
Ireland,1,1996
Israel,3,1996
Italy,6,1996
Japan,40,1996
Kazakhstan,0,1996
Kuwait,1,1996
Lebanon,2,1996
Liechtenstein,1,1996
Lithuania,0,1996
Macau,0,1996
Malaysia,11,1996
Mexico,15,1996
Monaco,0,1996
Morocco,0,1996
Nepal,0,1996
Netherlands,3,1996
New Zealand,0,1996
Nigeria,0,1996
Norway,0,1996
Oman,0,1996
Peru,1,1996
Philippines,9,1996
Poland,0,1996
Portugal,0,1996
Romania,0,1996
Russia,0,1996
Saudi Arabia,7,1996
Singapore,4,1996
South Africa,2,1996
South Korea,7,1996
Spain,3,1996
St. Kitts and Nevis,0,1996
Swaziland,0,1996
Sweden,3,1996
Switzerland,13,1996
Taiwan,7,1996
Tanzania,0,1996
Thailand,10,1996
Turkey,3,1996
Uganda,0,1996
Ukraine,0,1996
United Arab Emirates,0,1996
United Kingdom,6,1996
United States,135,1996
Venezuela,2,1996
Vietnam,0,1996
Algeria,0,2001
Angola,0,2001
Argentina,4,2001
Australia,3,2001
Austria,0,2001
Bahrain,0,2001
Belgium,1,2001
Bermuda,1,2001
Brazil,6,2001
Canada,16,2001
Chile,2,2001
China,1,2001
Colombia,1,2001
Cyprus,0,2001
Czech Republic,0,2001
Denmark,2,2001
Ecuador,0,2001
Egypt,1,2001
Finland,0,2001
France,15,2001
Georgia,0,2001
Germany,28,2001
Greece,3,2001
Guernsey,0,2001
Hong Kong,14,2001
India,4,2001
Indonesia,2,2001
Ireland,2,2001
Israel,5,2001
Italy,17,2001
Japan,29,2001
Kazakhstan,0,2001
Kuwait,1,2001
Lebanon,1,2001
Liechtenstein,1,2001
Lithuania,0,2001
Macau,0,2001
Malaysia,4,2001
Mexico,13,2001
Monaco,0,2001
Morocco,0,2001
Nepal,0,2001
Netherlands,2,2001
New Zealand,1,2001
Nigeria,0,2001
Norway,2,2001
Oman,0,2001
Peru,0,2001
Philippines,3,2001
Poland,0,2001
Portugal,2,2001
Romania,0,2001
Russia,8,2001
Saudi Arabia,8,2001
Singapore,6,2001
South Africa,2,2001
South Korea,2,2001
Spain,8,2001
St. Kitts and Nevis,0,2001
Swaziland,0,2001
Sweden,5,2001
Switzerland,16,2001
Taiwan,5,2001
Tanzania,0,2001
Thailand,2,2001
Turkey,5,2001
Uganda,0,2001
Ukraine,0,2001
United Arab Emirates,1,2001
United Kingdom,12,2001
United States,269,2001
Venezuela,2,2001
Vietnam,0,2001
Algeria,1,2014
Angola,1,2014
Argentina,5,2014
Australia,29,2014
Austria,10,2014
Bahrain,0,2014
Belgium,3,2014
Bermuda,0,2014
Brazil,65,2014
Canada,32,2014
Chile,12,2014
China,152,2014
Colombia,4,2014
Cyprus,4,2014
Czech Republic,6,2014
Denmark,6,2014
Ecuador,0,2014
Egypt,8,2014
Finland,4,2014
France,43,2014
Georgia,1,2014
Germany,85,2014
Greece,3,2014
Guernsey,1,2014
Hong Kong,45,2014
India,56,2014
Indonesia,19,2014
Ireland,5,2014
Israel,18,2014
Italy,35,2014
Japan,27,2014
Kazakhstan,5,2014
Kuwait,5,2014
Lebanon,6,2014
Liechtenstein,0,2014
Lithuania,1,2014
Macau,2,2014
Malaysia,13,2014
Mexico,16,2014
Monaco,3,2014
Morocco,4,2014
Nepal,1,2014
Netherlands,7,2014
New Zealand,2,2014
Nigeria,4,2014
Norway,9,2014
Oman,2,2014
Peru,8,2014
Philippines,10,2014
Poland,5,2014
Portugal,3,2014
Romania,1,2014
Russia,111,2014
Saudi Arabia,7,2014
Singapore,16,2014
South Africa,8,2014
South Korea,27,2014
Spain,26,2014
St. Kitts and Nevis,1,2014
Swaziland,1,2014
Sweden,19,2014
Switzerland,22,2014
Taiwan,28,2014
Tanzania,1,2014
Thailand,11,2014
Turkey,24,2014
Uganda,1,2014
Ukraine,9,2014
United Arab Emirates,4,2014
United Kingdom,47,2014
United States,499,2014
Venezuela,3,2014
Vietnam,1,2014
